Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Chevrolet Chevelle Malibu,18.0,8,307.0,130,3504,12.0,70,US
Buick Skylark 320,15.0,8,350.0,165,3693,11.5,70,US
Plymouth Satellite,18.0,8,318.0,150,3436,11.0,70,US
AMC Rebel SST,16.0,8,304.0,150,3433,12.0,70,US
Ford Torino,17.0,8,302.0,140,3449,10.5,70,US
Ford Galaxie 500,15.0,8,429.0,198,4341,10.0,70,US
Chevrolet Impala,14.0,8,454.0,220,4354,9.0,70,US
Plymouth Fury iii,14.0,8,440.0,215,4312,8.5,70,US
Pontiac Catalina,14.0,8,455.0,225,4425,10.0,70,US
AMC Ambassador DPL,15.0,8,390.0,190,3850,8.5,70,US
Chevrolet Chevelle Concours (sw),0.0,8,350.0,165,4142,11.5,70,US
Ford Torino (sw),0.0,8,351.0,153,4034,11.0,70,US
Plymouth Satellite (sw),0.0,8,383.0,175,4166,10.5,70,US
AMC Rebel SST (sw),0.0,8,360.0,175,3850,11.0,70,US
Dodge Challenger SE,15.0,8,383.0,170,3563,10.0,70,US
Plymouth 'Cuda 340,14.0,8,340.0,160,3609,8.0,70,US
Ford Mustang Boss 302,0.0,8,302.0,140,3353,8.0,70,US
Chevrolet Monte Carlo,15.0,8,400.0,150,3761,9.5,70,US
Buick Estate Wagon (sw),14.0,8,455.0,225,3086,10.0,70,US
Plymouth Duster,22.0,6,198.0,95,2833,15.5,70,US
AMC Hornet,18.0,6,199.0,97,2774,15.5,70,US
Ford Maverick,21.0,6,200.0,85,2587,16.0,70,US
AMC Gremlin,21.0,6,199.0,90,2648,15.0,70,US
Ford F250,10.0,8,360.0,215,4615,14.0,70,US
Chevy C20,10.0,8,307.0,200,4376,15.0,70,US
Dodge D200,11.0,8,318.0,210,4382,13.5,70,US
Hi 1200D,9.0,8,304.0,193,4732,18.5,70,US
Chevrolet Vega 2300,28.0,4,140.0,90,2264,15.5,71,US
Ford Pinto,25.0,4,98.0,0,2046,19.0,71,US
AMC Gremlin,19.0,6,232.0,100,2634,13.0,71,US
Plymouth Satellite Custom,16.0,6,225.0,105,3439,15.5,71,US
Chevrolet Chevelle Malibu,17.0,6,250.0,100,3329,15.5,71,US
Ford Torino 500,19.0,6,250.0,88,3302,15.5,71,US
AMC Matador,18.0,6,232.0,100,3288,15.5,71,US
Chevrolet Impala,14.0,8,350.0,165,4209,12.0,71,US
Pontiac Catalina Brougham,14.0,8,400.0,175,4464,11.5,71,US
Ford Galaxie 500,14.0,8,351.0,153,4154,13.5,71,US
Plymouth Fury iii,14.0,8,318.0,150,4096,13.0,71,US
Dodge Monaco (sw),12.0,8,383.0,180,4955,11.5,71,US
Ford Country Squire (sw),13.0,8,400.0,170,4746,12.0,71,US
Pontiac Safari (sw),13.0,8,400.0,175,5140,12.0,71,US
AMC Hornet Sportabout (sw),18.0,6,258.0,110,2962,13.5,71,US
Chevrolet Vega (sw),22.0,4,140.0,72,2408,19.0,71,US
Pontiac Firebird,19.0,6,250.0,100,3282,15.0,71,US
Ford Mustang,18.0,6,250.0,88,3139,14.5,71,US
Mercury Capri 2000,23.0,4,122.0,86,2220,14.0,71,US
Plymouth Cricket,26.0,4,91.0,70,1955,20.5,71,US
Dodge Colt Hardtop,25.0,4,97.5,80,2126,17.0,72,US
Chevrolet Vega,20.0,4,140.0,90,2408,19.5,72,US
Ford Pinto Runabout,21.0,4,122.0,86,2226,16.5,72,US
Chevrolet Impala,13.0,8,350.0,165,4274,12.0,72,US
Pontiac Catalina,14.0,8,400.0,175,4385,12.0,72,US
Plymouth Fury III,15.0,8,318.0,150,4135,13.5,72,US
Ford Galaxie 500,14.0,8,351.0,153,4129,13.0,72,US
AMC Ambassador SST,17.0,8,304.0,150,3672,11.5,72,US
Mercury Marquis,11.0,8,429.0,208,4633,11.0,72,US
Buick LeSabre Custom,13.0,8,350.0,155,4502,13.5,72,US
Oldsmobile Delta 88 Royale,12.0,8,350.0,160,4456,13.5,72,US
Chrysler Newport Royal,13.0,8,400.0,190,4422,12.5,72,US
AMC Matador (sw),15.0,8,304.0,150,3892,12.5,72,US
Chevrolet Chevelle Concours (sw),13.0,8,307.0,130,4098,14.0,72,US
Ford Gran Torino (sw),13.0,8,302.0,140,4294,16.0,72,US
Plymouth Satellite Custom (sw),14.0,8,318.0,150,4077,14.0,72,US
Ford Pinto (sw),22.0,4,122.0,86,2395,16.0,72,US
Dodge Colt (sw),28.0,4,98.0,80,2164,15.0,72,US
Buick Century 350,13.0,8,350.0,175,4100,13.0,73,US
AMC Matador,14.0,8,304.0,150,3672,11.5,73,US
Chevrolet Malibu,13.0,8,350.0,145,3988,13.0,73,US
Ford Gran Torino,14.0,8,302.0,137,4042,14.5,73,US
Dodge Coronet Custom,15.0,8,318.0,150,3777,12.5,73,US
Mercury Marquis Brougham,12.0,8,429.0,198,4952,11.5,73,US
Chevrolet Caprice Classic,13.0,8,400.0,150,4464,12.0,73,US
Ford LTD,13.0,8,351.0,158,4363,13.0,73,US
Plymouth Fury Gran Sedan,14.0,8,318.0,150,4237,14.5,73,US
Chrysler New Yorker Brougham,13.0,8,440.0,215,4735,11.0,73,US
Buick Electra 225 Custom,12.0,8,455.0,225,4951,11.0,73,US
AMC Ambassador Brougham,13.0,8,360.0,175,3821,11.0,73,US
Plymouth Valiant,18.0,6,225.0,105,3121,16.5,73,US
Chevrolet Nova Custom,16.0,6,250.0,100,3278,18.0,73,US
AMC Hornet,18.0,6,232.0,100,2945,16.0,73,US
Ford Maverick,18.0,6,250.0,88,3021,16.5,73,US
Plymouth Duster,23.0,6,198.0,95,2904,16.0,73,US
Chevrolet Impala,11.0,8,400.0,150,4997,14.0,73,US
Ford Country,12.0,8,400.0,167,4906,12.5,73,US
Plymouth Custom Suburb,13.0,8,360.0,170,4654,13.0,73,US
Oldsmobile Vista Cruiser,12.0,8,350.0,180,4499,12.5,73,US
AMC Gremlin,18.0,6,232.0,100,2789,15.0,73,US
Chevrolet Vega,21.0,4,140.0,72,2401,19.5,73,US
Ford Pinto,19.0,4,122.0,85,2310,18.5,73,US
Mercury Capri v6,21.0,6,155.0,107,2472,14.0,73,US
Chevrolet Monte Carlo S,15.0,8,350.0,145,4082,13.0,73,US
Pontiac Grand Prix,16.0,8,400.0,230,4278,9.5,73,US
Dodge Dart Custom,15.0,8,318.0,150,3399,11.0,73,US
Oldsmobile Omega,11.0,8,350.0,180,3664,11.0,73,US
Plymouth Duster,20.0,6,198.0,95,3102,16.5,74,US
Ford Maverick,21.0,6,200.0,0,2875,17.0,74,US
AMC Hornet,19.0,6,232.0,100,2901,16.0,74,US
Chevrolet Nova,15.0,6,250.0,100,3336,17.0,74,US
Ford Pinto,26.0,4,122.0,80,2451,16.5,74,US
Chevrolet Vega,25.0,4,140.0,75,2542,17.0,74,US
Chevrolet Chevelle Malibu Classic,16.0,6,250.0,100,3781,17.0,74,US
AMC Matador,16.0,6,258.0,110,3632,18.0,74,US
Plymouth Satellite Sebring,18.0,6,225.0,105,3613,16.5,74,US
Ford Gran Torino,16.0,8,302.0,140,4141,14.0,74,US
Buick Century Luxus (sw),13.0,8,350.0,150,4699,14.5,74,US
Dodge Coronet Custom (sw),14.0,8,318.0,150,4457,13.5,74,US
Ford Gran Torino (sw),14.0,8,302.0,140,4638,16.0,74,US
AMC Matador (sw),14.0,8,304.0,150,4257,15.5,74,US
Dodge Colt,28.0,4,90.0,75,2125,14.5,74,US
Plymouth Valiant Custom,19.0,6,225.0,95,3264,16.0,75,US
Chevrolet Nova,18.0,6,250.0,105,3459,16.0,75,US
Mercury Monarch,15.0,6,250.0,72,3432,21.0,75,US
Ford Maverick,15.0,6,250.0,72,3158,19.5,75,US
Pontiac Catalina,16.0,8,400.0,170,4668,11.5,75,US
Chevrolet Bel Air,15.0,8,350.0,145,4440,14.0,75,US
Plymouth Grand Fury,16.0,8,318.0,150,4498,14.5,75,US
Ford LTD,14.0,8,351.0,148,4657,13.5,75,US
Buick Century,17.0,6,231.0,110,3907,21.0,75,US
Chevrolete Chevelle Malibu,16.0,6,250.0,105,3897,18.5,75,US
AMC Matador,15.0,6,258.0,110,3730,19.0,75,US
Plymouth Fury,18.0,6,225.0,95,3785,19.0,75,US
Buick Skyhawk,21.0,6,231.0,110,3039,15.0,75,US
Chevrolet Monza 2+2,20.0,8,262.0,110,3221,13.5,75,US
Ford Mustang II,13.0,8,302.0,129,3169,12.0,75,US
Ford Pinto,23.0,4,140.0,83,2639,17.0,75,US
AMC Gremlin,20.0,6,232.0,100,2914,16.0,75,US
Pontiac Astro,23.0,4,140.0,78,2592,18.5,75,US
Ford Pinto,18.0,6,171.0,97,2984,14.5,75,US
AMC Pacer,19.0,6,232.0,90,3211,17.0,75,US
Capri ii,25.0,4,140.0,92,2572,14.9,76,US
Dodge Colt,26.0,4,98.0,79,2255,17.7,76,US
Chevrolet Chevelle Malibu Classic,17.5,8,305.0,140,4215,13.0,76,US
Dodge Coronet Brougham,16.0,8,318.0,150,4190,13.0,76,US
AMC Matador,15.5,8,304.0,120,3962,13.9,76,US
Ford Gran Torino,14.5,8,351.0,152,4215,12.8,76,US
Plymouth Valiant,22.0,6,225.0,100,3233,15.4,76,US
Chevrolet Nova,22.0,6,250.0,105,3353,14.5,76,US
Ford Maverick,24.0,6,200.0,81,3012,17.6,76,US
AMC Hornet,22.5,6,232.0,90,3085,17.6,76,US
Chevrolet Chevette,29.0,4,85.0,52,2035,22.2,76,US
Chevrolet Woody,24.5,4,98.0,60,2164,22.1,76,US
Dodge Aspen SE,20.0,6,225.0,100,3651,17.7,76,US
Ford Grenada ghia,18.0,6,250.0,78,3574,21.0,76,US
Pontiac Ventura SJ,18.5,6,250.0,110,3645,16.2,76,US
AMC Pacer d/l,17.5,6,258.0,95,3193,17.8,76,US
Ford Pinto,26.5,4,140.0,72,2565,13.6,76,US
Plymouth Volare Premier v8,13.0,8,318.0,150,3940,13.2,76,US
Cadillac Seville,16.5,8,350.0,180,4380,12.1,76,US
Chevrolet C10,13.0,8,350.0,145,4055,12.0,76,US
Ford F108,13.0,8,302.0,130,3870,15.0,76,US
Dodge D100,13.0,8,318.0,150,3755,14.0,76,US
Buick Opel Isuzu Deluxe,30.0,4,111.0,80,2155,14.8,77,US
Plymouth Arrow GS,25.5,4,122.0,96,2300,15.5,77,US
Chevrolet Caprice Classic,17.5,8,305.0,145,3880,12.5,77,US
Oldsmobile Cutlass Supreme,17.0,8,260.0,110,4060,19.0,77,US
Dodge Monaco Brougham,15.5,8,318.0,145,4140,13.7,77,US
Mercury Cougar Brougham,15.0,8,302.0,130,4295,14.9,77,US
Chevrolet Concours,17.5,6,250.0,110,3520,16.4,77,US
Buick Skylark,20.5,6,231.0,105,3425,16.9,77,US
Plymouth Volare Custom,19.0,6,225.0,100,3630,17.7,77,US
Ford Grenada,18.5,6,250.0,98,3525,19.0,77,US
Pontiac Grand Prix LJ,16.0,8,400.0,180,4220,11.1,77,US
Chevrolet Monte Carlo Landau,15.5,8,350.0,170,4165,11.4,77,US
Chrysler Cordoba,15.5,8,400.0,190,4325,12.2,77,US
Ford Thunderbird,16.0,8,351.0,149,4335,14.5,77,US
Pontiac Sunbird Coupe,24.5,4,151.0,88,2740,16.0,77,US
Ford Mustang II 2+2,25.5,4,140.0,89,2755,15.8,77,US
Chevrolet Chevette,30.5,4,98.0,63,2051,17.0,77,US
Dodge Colt m/m,33.5,4,98.0,83,2075,15.9,77,US
Ford Fiesta,36.1,4,98.0,66,1800,14.4,78,US
Oldsmobile Cutlass Salon Brougham,19.9,8,260.0,110,3365,15.5,78,US
Dodge Diplomat,19.4,8,318.0,140,3735,13.2,78,US
Mercury Monarch ghia,20.2,8,302.0,139,3570,12.8,78,US
Pontiac Phoenix LJ,19.2,6,231.0,105,3535,19.2,78,US
Chevrolet Malibu,20.5,6,200.0,95,3155,18.2,78,US
Ford Fairmont (auto),20.2,6,200.0,85,2965,15.8,78,US
Ford Fairmont (man),25.1,4,140.0,88,2720,15.4,78,US
Plymouth Volare,20.5,6,225.0,100,3430,17.2,78,US
AMC Concord,19.4,6,232.0,90,3210,17.2,78,US
Buick Century Special,20.6,6,231.0,105,3380,15.8,78,US
Mercury Zephyr,20.8,6,200.0,85,3070,16.7,78,US
Dodge Aspen,18.6,6,225.0,110,3620,18.7,78,US
AMC Concord d/l,18.1,6,258.0,120,3410,15.1,78,US
Chevrolet Monte Carlo Landau,19.2,8,305.0,145,3425,13.2,78,US
Buick Regal Sport Coupe (turbo),17.7,6,231.0,165,3445,13.4,78,US
Ford Futura,18.1,8,302.0,139,3205,11.2,78,US
Dodge Magnum XE,17.5,8,318.0,140,4080,13.7,78,US
Chevrolet Chevette,30.0,4,98.0,68,2155,16.5,78,US
Dodge Omni,30.9,4,105.0,75,2230,14.5,78,US
Plymouth Sapporo,23.2,4,156.0,105,2745,16.7,78,US
Oldsmobile Starfire SX,23.8,4,151.0,85,2855,17.6,78,US
Pontiac Lemans V6,21.5,6,231.0,115,3245,15.4,79,US
Mercury Zephyr 6,19.8,6,200.0,85,2990,18.2,79,US
Ford Fairmont 4,22.3,4,140.0,88,2890,17.3,79,US
AMC Concord DL 6,20.2,6,232.0,90,3265,18.2,79,US
Dodge Aspen 6,20.6,6,225.0,110,3360,16.6,79,US
Chevrolet Caprice Classic,17.0,8,305.0,130,3840,15.4,79,US
Ford LTD Landau,17.6,8,302.0,129,3725,13.4,79,US
Mercury Grand Marquis,16.5,8,351.0,138,3955,13.2,79,US
Dodge St. Regis,18.2,8,318.0,135,3830,15.2,79,US
Buick Estate Wagon (sw),16.9,8,350.0,155,4360,14.9,79,US
Ford Country Squire (sw),15.5,8,351.0,142,4054,14.3,79,US
Chevrolet Malibu Classic (sw),19.2,8,267.0,125,3605,15.0,79,US
Chrysler Lebaron Town @ Country (sw),18.5,8,360.0,150,3940,13.0,79,US
Dodge Colt Hatchback Custom,35.7,4,98.0,80,1915,14.4,79,US
AMC Spirit DL,27.4,4,121.0,80,2670,15.0,79,US
Cadillac Eldorado,23.0,8,350.0,125,3900,17.4,79,US
Oldsmobile Cutlass Salon Brougham,23.9,8,260.0,90,3420,22.2,79,US
Plymouth Horizon,34.2,4,105.0,70,2200,13.2,79,US
Plymouth Horizon TC3,34.5,4,105.0,70,2150,14.9,79,US
Buick Skylark Limited,28.4,4,151.0,90,2670,16.0,79,US
Chevrolet Citation,28.8,6,173.0,115,2595,11.3,79,US
Oldsmobile Omega Brougham,26.8,6,173.0,115,2700,12.9,79,US
Pontiac Phoenix,33.5,4,151.0,90,2556,13.2,79,US
Chevrolet Chevette,32.1,4,98.0,70,2120,15.5,80,US
Chevrolet Citation,28.0,4,151.0,90,2678,16.5,80,US
Ford Fairmont,26.4,4,140.0,88,2870,18.1,80,US
AMC Concord,24.3,4,151.0,90,3003,20.1,80,US
Dodge Aspen,19.1,6,225.0,90,3381,18.7,80,US
Dodge Colt,27.9,4,156.0,105,2800,14.4,80,US
Ford Mustang Cobra,23.6,4,140.0,0,2905,14.3,80,US
Plymouth Reliant,27.2,4,135.0,84,2490,15.7,81,US
Buick Skylark,26.6,4,151.0,84,2635,16.4,81,US
Dodge Aries Wagon (sw),25.8,4,156.0,92,2620,14.4,81,US
Chevrolet Citation,23.5,6,173.0,110,2725,12.6,81,US
Plymouth Reliant,30.0,4,135.0,84,2385,12.9,81,US
Plymouth Champ,39.0,4,86.0,64,1875,16.4,81,US
Plymouth Horizon 4,34.7,4,105.0,63,2215,14.9,81,US
Ford Escort 4W,34.4,4,98.0,65,2045,16.2,81,US
Ford Escort 2H,29.9,4,98.0,65,2380,20.7,81,US
Buick Century,22.4,6,231.0,110,3415,15.8,81,US
Oldsmobile Cutlass LS,26.6,8,350.0,105,3725,19.0,81,US
Ford Grenada gl,20.2,6,200.0,88,3060,17.1,81,US
Chrysler Lebaron Salon,17.6,6,225.0,85,3465,16.6,81,US
Chevrolet Cavalier,28.0,4,112.0,88,2605,19.6,82,US
Chevrolet Cavalier Wagon,27.0,4,112.0,88,2640,18.6,82,US
Chevrolet Cavalier 2-door,34.0,4,112.0,88,2395,18.0,82,US
Pontiac J2000 SE Hatchback,31.0,4,112.0,85,2575,16.2,82,US
Dodge Aries SE,29.0,4,135.0,84,2525,16.0,82,US
Pontiac Phoenix,27.0,4,151.0,90,2735,18.0,82,US
Ford Fairmont Futura,24.0,4,140.0,92,2865,16.4,82,US
AMC Concord DL,23.0,4,151.0,0,3035,20.5,82,US
Plymouth Horizon Miser,38.0,4,105.0,63,2125,14.7,82,US
Mercury Lynx l,36.0,4,98.0,70,2125,17.3,82,US
Buick Century Limited,25.0,6,181.0,110,2945,16.4,82,US
Oldsmobile Cutlass Ciera (diesel),38.0,6,262.0,85,3015,17.0,82,US
Chrysler Lebaron Medallion,26.0,4,156.0,92,2585,14.5,82,US
Ford Grenada l,22.0,6,232.0,112,2835,14.7,82,US
Dodge Charger 2.2,36.0,4,135.0,84,2370,13.0,82,US
Chevrolet Camaro,27.0,4,151.0,90,2950,17.3,82,US
Ford Mustang GL,27.0,4,140.0,86,2790,15.6,82,US
Dodge Rampage,32.0,4,135.0,84,2295,11.6,82,US
Ford Ranger,28.0,4,120.0,79,2625,18.6,82,US
Chevy S-10,31.0,4,119.0,82,2720,19.4,82,US
